~a	 ~ a |
wayato	 w a y a t o |
ahkodo	 a h k o d o |
atag~U	 a t a g ~ U |
y~ekonoka	 y ~ e k o n o k a |
sohope	 s o h o p e |
~nu	 ~ n u |
~nunagUle	 ~ n u n a g U l e |
dohokesaye	 d o h o k e s a y e |
dohokesag~U	 d o h o k e s a g ~ U |
panaminole	 p a n a m i n o l e |
we~kale	 w e ~ k a l e |
a'batusaya	 a ' b a t u s a y a |
we~tuasa	 w e ~ t u a s a |
du'liaya	 d u ' l i a y a |
du'ka	 d u ' k a |
k~alibole	 k ~ a l i b o l e |
numiamela	 n u m i a m e l a |
ahpedehko	 a h p e d e h k o |
sio	 s i o |
kusak~a	 k u s a k ~ a |
mah~a	 m a h ~ a |
iauaya	 i a u a y a |
ou	 o u |
kUmale	 k U m a l e |
yauboleamipe	 y a u b o l e a m i p e |
yaudhu	 y a u d h u |
kueg~U	 k u e g ~ U |
tUokoya	 t U o k o y a |
numiamaha	 n u m i a m a h a |
kenoahatiado	 k e n o a h a t i a d o |
bahasaro	 b a h a s a r o |
tUogUna	 t U o g U n a |
~akakodo	 ~ a k a k o d o |
bahasanatiatha	 b a h a s a n a t i a t h a |
nikaye	 n i k a y e |
o~ça	 o ~ ç a |
ahape	 a h a p e |
iodoho	 i o d o h o |
ihiedale	 i h i e d a l e |
UhsUdo	 U h s U d o |
wadoga	 w a d o g a |
yauduhkuedayu	 y a u d u h k u e d a y u |
ihiato	 i h i a t o |
yuu	 y u u |
yauduhkuly	 y a u d u h k u l y |
one	 o n e |
pUata	 p U a t a |
yauduhku	 y a u d u h k u |
kuena	 k u e n a |
opUna	 o p U n a |
yauduhkuu	 y a u d u h k u u |
mahsiedayu	 m a h s i e d a y u |
kuapehsaniaye	 k u a p e h s a n i a y e |
ooa	 o o a |
yehkonopea	 y e h k o n o p e a |
aliapena	 a l i a p e n a |
ihiayenaha	 i h i a y e n a h a |
kaakUna	 k a a k U n a |
koaly	 k o a l y |
yohsoaye	 y o h s o a y e |
tibodo	 t i b o d o |
tikodonaha	 t i k o d o n a h a |
tikoaline	 t i k o a l i n e |
wehkalegUle	 w e h k a l e g U l e |
pilen	 p i l e n |
bihsimaye	 b i h s i m a y e |
tikUna	 t i k U n a |
liita	 l i i t a |
dohketa	 d o h k e t a |
niayeti	 n i a y e t i |
kaapahkana	 k a a p a h k a n a |
lii	 l i i |
leen	 l e e n |
yeenata	 y e e n a t a |
ahaU	 a h a U |
uhsuado	 u h s u a d o |
yehkonokohpe	 y e h k o n o k o h p e |
yauduhkugU	 y a u d u h k u g U |
ihiedayu	 i h i e d a y u |
noo	 n o o |
kamegU	 k a m e g U |
ahayu	 a h a y u |
nimae	 n i m a e |
kaadeyudo	 k a a d e y u d o |
tuedayenaha	 t u e d a y e n a h a |
nigu	 n i g u |
tuoo	 t u o o |
bahsayetaha	 b a h s a y e t a h a |
muu	 m u u |
kenobUhti	 k e n o b U h t i |
bahsade	 b a h s a d e |
ehe	 e h e |
tuosaye	 t u o s a y e |
yabeikina	 y a b e i k i n a |
kakunali	 k a k u n a l i |
buhkuna	 b u h k u n a |
buhyekina	 b u h y e k i n a |
yaumalitohata	 y a u m a l i t o h a t a |
netusaye	 n e t u s a y e |
kaagalee	 k a a g a l e e |
nemamUa	 n e m a m U a |
wayenaha	 w a y e n a h a |
obodokunomehe	 o b o d o k u n o m e h e |
kaamee	 k a a m e e |
kadaka	 k a d a k a |
yeeno	 y e e n o |
yohkoedamipe	 y o h k o e d a m i p e |
yuanta	 y u a n t a |
yemaka	 y e m a k a |
yomakaa	 y o m a k a a |
waamipe	 w a a m i p e |
yeenyeidi	 y e e n y e i d i |
pahakana	 p a h a k a n a |
bUhyekina	 b U h y e k i n a |
mamUaa	 m a m U a a |
soobodo	 s o o b o d o |
nemahatahapeheaye	 n e m a h a t a h a p e h e a y e |
oomaapeh	 o o m a a p e h |
kamee	 k a m e e |
memUaa	 m e m U a a |
memUawaye	 m e m U a w a y e |
soopUnaha	 s o o p U n a h a |
boyetaita	 b o y e t a i t a |
tikinagU	 t i k i n a g U |
yehkono	 y e h k o n o |
dUhtido	 d U h t i d o |
kaa,	 k a a , |
yehkUnokUdo	 y e h k U n o k U d o |
ihiayetaha	 i h i a y e t a h a |
boetaye	 b o e t a y e |
nenii	 n e n i i |
toopUle	 t o o p U l e |
ehsaa	 e h s a a |
dooa	 d o o a |
iayeatayeniaye	 i a y e a t a y e n i a y e |
seeditoha	 s e e d i t o h a |
deyudo	 d e y u d o |
yehkUno	 y e h k U n o |
needehpoo	 n e e d e h p o o |
yaadUhkaye	 y a a d U h k a y e |
yeditoha	 y e d i t o h a |
panoogaa	 p a n o o g a a |
oomaasaa	 o o m a a s a a |
tiga	 t i g a |
yugU	 y u g U |
ataUyU	 a t a U y U |
yadou	 y a d o u |
tUU	 t U U |
ahau	 a h a u |
ataya	 a t a y a |
niikaapokado	 n i i k a a p o k a d o |
dudihiodo	 d u d i h i o d o |
malieno	 m a l i e n o |
malii	 m a l i i |
yuna	 y u n a |
tuodo	 t u o d o |
tiklido	 t i k l i d o |
wahkunomena	 w a h k u n o m e n a |
waly	 w a l y |
yehkUnope	 y e h k U n o p e |
boeteye	 b o e t e y e |
ninomena	 n i n o m e n a |
needahpoo	 n e e d a h p o o |
kenoana	 k e n o a n a |
yanUhsa	 y a n U h s a |
ditoha	 d i t o h a |
yeitaha	 y e i t a h a |
wahkuyemena	 w a h k u y e m e n a |
waali	 w a a l i |
saayenaha	 s a a y e n a h a |
imina	 i m i n a |
doose	 d o o s e |
ihiekina	 i h i e k i n a |
buhmeneaye	 b u h m e n e a y e |
imigU	 i m i g U |
keemahakaadUhi	 k e e m a h a k a a d U h i |
alipU	 a l i p U |
pehegU	 p e h e g U |
mal~i	 m a l ~ i |
~imino	 ~ i m i n o |
mahas~i	 m a h a s ~ i |
dU'sei	 d U ' s e i |
ihikina	 i h i k i n a |
n~o	 n ~ o |
tilido	 t i l i d o |
wa'ase	 w a ' a s e |
nimipide	 n i m i p i d e |
yabohkado	 y a b o h k a d o |
woedaya	 w o e d a y a |
se'e	 s e ' e |
k~atha	 k ~ a t h a |
k~adeyu	 k ~ a d e y u |
yehkUnota	 y e h k U n o t a |
ni'ita	 n i ' i t a |
ni'yu	 n i ' y u |
bo'odo	 b o ' o d o |
k~anole	 k ~ a n o l e |
ne'eye	 n e ' e y e |
du'udihio	 d u ' u d i h i o |
do	 d o |
mali~ano	 m a l i ~ a n o |
yeita	 y e i t a |
niati	 n i a t i |
n~ee	 n ~ e e |
k~emahaka	 k ~ e m a h a k a |
nohtoanaha	 n o h t o a n a h a |
a'agU	 a ' a g U |
ni'im~eo	 n i ' i m ~ e o |
ne'edi	 n e ' e d i |
topUle	 t o p U l e |
dohkeokayanaha	 d o h k e o k a y a n a h a |
dohkeo	 d o h k e o |
yoedU	 y o e d U |
nUtaa	 n U t a a |
bUhsUmaye	 b U h s U m a y e |
gUUUlU	 g U U U l U |
kahtido	 k a h t i d o |
m~atoha	 m ~ a t o h a |
wadoba	 w a d o b a |
k~adeyude	 k ~ a d e y u d e |
pa'ana	 p a ' a n a |
n~oa	 n ~ o a |
dohamel~e	 d o h a m e l ~ e |
mahalita	 m a h a l i t a |
m~aline	 m ~ a l i n e |
~ak~apokadoak~a	 ~ a k ~ a p o k a d o a k ~ a |
menoaka	 m e n o a k a |
dudihioka	 d u d i h i o k a |
nibeyu	 n i b e y u |
kenoanbo	 k e n o a n b o |
nihiaye	 n i h i a y e |
k~oanee	 k ~ o a n e e |
dohkeolikido	 d o h k e o l i k i d o |
yeek~a	 y e e k ~ a |
tuotUnah	 t u o t U n a h |
ye'edaya	 y e ' e d a y a |
dohmel~ita	 d o h m e l ~ i t a |
wa'ale	 w a ' a l e |
~ose	 ~ o s e |
yo'odUhku	 y o ' o d U h k u |
yUdU	 y U d U |
wehtita	 w e h t i t a |
dohkoeli	 d o h k o e l i |
ihikoate	 i h i k o a t e |
pe'ekido	 p e ' e k i d o |
yUdUodo	 y U d U o d o |
se'egU	 s e ' e g U |
mahasi	 m a h a s i |
bohtotiaga	 b o h t o t i a g a |
~ole	 ~ o l e |
mahasina	 m a h a s i n a |
bee	 b e e |
tihidi	 t i h i d i |
dUalekatale	 d U a l e k a t a l e |
mahasiyepU	 m a h a s i y e p U |
tUopohtodohko	 t U o p o h t o d o h k o |
ye'eya	 y e ' e y a |
wamee	 w a m e e |
wai'kU	 w a i ' k U |
Pedro	 P e d r o |
Fonseca	 F o n s e c a |
Gois	 G o i s |
topuno	 t o p u n o |
tihide	 t i h i d e |
Jacinto	 J a c i n t o |
Cruz,	 C r u z , |
gravado	 g r a v a d o |
27	 2 7 |
agosto	 a g o s t o |
2006	 2 0 0 6 |
miedole	 m i e d o l e |
mUsane	 m U s a n e |
sabado,	 s a b a d o , |
26	 2 6 |
ihi~gUle	 i h i ~ g U l e |
ya'uduaga	 y a ' u d u a g a |
nikano	 n i k a n o |
saawa'ali,	 s a a w a ' a l i , |
khiti~ga	 k h i t i ~ g a |
kayena,	 k a y e n a , |
ya'utha.	 y a ' u t h a . |
aracapa	 a r a c a p a |
saawa'ali	 s a a w a ' a l i |
tipede	 t i p e d e |
~wa'mUpUta	 ~ w a ' m U p U t a |
12	 1 2 |
ihidipede,	 i h i d i p e d e , |
penaha	 p e n a h a |
tipenaha,	 t i p e n a h a , |
~kU'ma	 ~ k U ' m a |
ihiditoarenaha	 i h i d i t o a r e n a h a |
Livino	 L i v i n o |
Oliveira	 O l i v e i r a |
~kUno,	 ~ k U n o , |
aracapa~kUno	 a r a c a p a ~ k U n o |
kU'ma	 k U ' m a |
wa'U~gU	 w a ' U ~ g U |
~i'yanaha	 ~ i ' y a n a h a |
"pakUdo	 " p a k U d o |
kUdo	 k U d o |
bUkUdo	 b U k U d o |
.	 . |
""mUsa	 " " m U s a |
masia~ga	 m a s i a ~ g a |
tikUdode"	 t i k U d o d e " |
yaido	 y a i d o |
timipe,	 t i m i p e , |
"bUhUpeye,	 " b U h U p e y e , |
wete	 w e t e |
niyetimipe,()	 n i y e t i m i p e , ( ) |
bUhUpe	 b U h U p e |
timipe"""	 t i m i p e " " " |
Livinonaha,	 L i v i n o n a h a , |
Oliveiranaha	 O l i v e i r a n a h a |
pakUdo,	 p a k U d o , |
bUkUdolenaha	 b U k U d o l e n a h a |
~i'yU	 ~ i ' y U |
wa'aiya,	 w a ' a i y a , |
puasualimaale,	 p u a s u a l i m a a l e , |
maha~yale	 m a h a ~ y a l e |
o'oayenaha.	 o ' o a y e n a h a . |
"mUsa	 " m U s a |
masiaga	 m a s i a g a |
timale.	 t i m a l e . |
ewUpa	 e w U p a |
tima,	 t i m a , |
maha~ya	 m a h a ~ y a |
niinima	 n i i n i m a |
"timale	 " t i m a l e |
~i'yu	 ~ i ' y u |
wa'aya	 w a ' a y a |
o'oayenaha,	 o ' o a y e n a h a , |
pakUdo	 p a k U d o |
bUkUdolenaha"""	 b U k U d o l e n a h a " " " |
bUkUdo,	 b U k U d o , |
wa'awa'ali	 w a ' a w a ' a l i |
ihidinaha.	 i h i d i n a h a . |
yoa	 y o a |
nimipe,	 n i m i p e , |
topUre	 t o p U r e |
ewUpa,	 e w U p a , |
esado.	 e s a d o . |
yohaa	 y o h a a |
dukuaye,	 d u k u a y e , |
malinino	 m a l i n i n o |
bu'i~ga	 b u ' i ~ g a |
palitukuno~ga	 p a l i t u k u n o ~ g a |
ihime'de	 i h i m e ' d e |
tukuno~ga	 t u k u n o ~ g a |
pa'sadukuaye	 p a ' s a d u k u a y e |
~yekU	 ~ y e k U |
GUle	 G U l e |
ihi~ka'ye.	 i h i ~ k a ' y e . |
die(doa)yele,	 d i e ( d o a ) y e l e , |
die(doa)yele	 d i e ( d o a ) y e l e |
pUaroli	 p U a r o l i |
pa'saye.	 p a ' s a y e . |
die(doa)ye,	 d i e ( d o a ) y e , |
~so'opU	 ~ s o ' o p U |
tikUdo	 t i k U d o |
yUkUso	 y U k U s o |
topepU	 t o p e p U |
~saya	 ~ s a y a |
dukuaye	 d u k u a y e |
yo'yedo	 y o ' y e d o |
gUle	 g U l e |
mUnanope.	 m U n a n o p e . |
ye'suana	 y e ' s u a n a |
nienaale	 n i e n a a l e |
yo'yepa'sa	 y o ' y e p a ' s a |
dukuaye.	 d u k u a y e . |
mUnanopenaha	 m U n a n o p e n a h a |
bUkUdopenaha	 b U k U d o p e n a h a |
esayenaha.	 e s a y e n a h a . |
cho'	 c h o ' |
pa'sahari	 p a ' s a h a r i |
sinituaye.	 s i n i t u a y e . |
()	 ( ) |
pa'sa~ka	 p a ' s a ~ k a |
no'opU	 n o ' o p U |
wa'aU	 w a ' a U |
niimahali	 n i i m a h a l i |
nisinituaye.	 n i s i n i t u a y e . |
a'rimaa	 a ' r i m a a |
wa'aUniha	 w a ' a U n i h a |
makU,	 m a k U , |
o'oati	 o ' o a t i |
"'cho!	 " ' c h o ! |
himaha	 h i m a h a |
wa'atia	 w a ' a t i a |
puasuaye	 p u a s u a y e |
ke'noato,	 k e ' n o a t o , |
'~i'yaduti'	 ' ~ i ' y a d u t i ' |
o'oli	 o ' o l i |
keodope'na,	 k e o d o p e ' n a , |
meheta	 m e h e t a |
~i'yUle,	 ~ i ' y U l e , |
sawa'a~kaye	 s a w a ' a ~ k a y e |
niita	 n i i t a |
nihaye	 n i h a y e |
mUnano,	 m U n a n o , |
ihiyu~gU	 i h i y u ~ g U |
masieda	 m a s i e d a |
(ti	 ( t i |
yayale)	 y a y a l e ) |
yaidole	 y a i d o l e |
bolado	 b o l a d o |
ko'tedo	 k o ' t e d o |
(ti),	 ( t i ) , |
kUdonaha	 k U d o n a h a |
pagU	 p a g U |
yeerosa,	 y e e r o s a , |
buhulikUdo	 b u h u l i k U d o |
buhuapa	 b u h u a p a |
yetiano	 y e t i a n o |
pa'saro	 p a ' s a r o |
(niaye)	 ( n i a y e ) |
tikUdo.	 t i k U d o . |
bolado~ya.	 b o l a d o ~ y a . |
buhulikUdonaha	 b u h u l i k U d o n a h a |
ke'noito	 k e ' n o i t o |
"yU'U	 " y U ' U |
~i'yUU	 ~ i ' y U U |
~osa	 ~ o s a |
bUdUtagU,	 b U d U t a g U , |
~i'yatu'sU	 ~ i ' y a t u ' s U |
ke'noa	 k e ' n o a |
yu'dUali,	 y u ' d U a l i , |
puasuaye,	 p u a s u a y e , |
~puli	 ~ p u l i |
~kali	 ~ k a l i |
"mU'U	 " m U ' U |
~i'yaduegU,	 ~ i ' y a d u e g U , |
yohaUna	 y o h a U n a |
isa""	 i s a " " |
tidole"	 t i d o l e " |
miale,	 m i a l e , |
~uleko	 ~ u l e k o |
kUu	 k U u |
bolaronaha.	 b o l a r o n a h a . |
tidUdo	 t i d U d o |
yabiyudonaha.	 y a b i y u d o n a h a . |
"isa	 " i s a |
""si'niwa'Uta""	 " " s i ' n i w a ' U t a " " |
""isa	 " " i s a |
kUou""	 k U o u " " |
si'niduUna,	 s i ' n i d u U n a , |
isa.	 i s a . |
ni'kano	 n i ' k a n o |
yohaawa'ayenaha	 y o h a a w a ' a y e n a h a |
ummmm,	 u m m m m , |
yohaye.	 y o h a y e . |
mUnanopU,	 m U n a n o p U , |
ukapinimaa	 u k a p i n i m a a |
waametimipe.	 w a a m e t i m i p e . |
wa'aita	 w a ' a i t a |
tihi	 t i h i |
pUto	 p U t o |
timapenaha	 t i m a p e n a h a |
yU'dUyoaye	 y U ' d U y o a y e |
mmmmmmm	 m m m m m m m |
me'neta	 m e ' n e t a |
yoha,	 y o h a , |
esayenaha,	 e s a y e n a h a , |
ukapinimata	 u k a p i n i m a t a |
ihi~kaye	 i h i ~ k a y e |
ihidope,	 i h i d o p e , |
nemaha~ka'ye	 n e m a h a ~ k a ' y e |
"tido	 " t i d o |
mUnanonaha	 m U n a n o n a h a |
ihidi""	 i h i d i " " |
tidole."	 t i d o l e . " |
mU'U~gU	 m U ' U ~ g U |
nii.	 n i i . |
mahasaa,	 m a h a s a a , |
namonoko	 n a m o n o k o |
duhiaye	 d u h i a y e |
~so'oba'dopU,	 ~ s o ' o b a ' d o p U , |
pu'iyapU.	 p u ' i y a p U . |
tipu'apU,	 t i p u ' a p U , |
buhiwio	 b u h i w i o |
bUkUodo.	 b U k U o d o . |
tikUdole	 t i k U d o l e |
sinino	 s i n i n o |
a'taedaye,	 a ' t a e d a y e , |
be'dope'epe.	 b e ' d o p e ' e p e . |
duutu	 d u u t u |
yeetiano,	 y e e t i a n o , |
bUhUdui~ka'ye.	 b U h U d u i ~ k a ' y e . |
yemaka~kUto,	 y e m a k a ~ k U t o , |
bokayalitotha	 b o k a y a l i t o t h a |
bUhUduhi~kaye.	 b U h U d u h i ~ k a y e . |
"nii	 " n i i |
""~o'o	 " " ~ o ' o |
duhiya	 d u h i y a |
nii""	 n i i " " |
pe'anaha	 p e ' a n a h a |
~eodapo."	 ~ e o d a p o . " |
"tu'asaa,	 " t u ' a s a a , |
""ihito	 " " i h i t o |
si'niye""	 s i ' n i y e " " |
niinaha."	 n i i n a h a . " |
warowa'a	 w a r o w a ' a |
wihiata	 w i h i a t a |
o'oayenaha	 o ' o a y e n a h a |
GUletha	 G U l e t h a |
ukapinimaata	 u k a p i n i m a a t a |
ihi~kaye.	 i h i ~ k a y e . |
masiedaha	 m a s i e d a h a |
tonaha.	 t o n a h a . |
~Usa~gU'U	 ~ U s a ~ g U ' U |
masiedadU	 m a s i e d a d U |
ihidome'na	 i h i d o m e ' n a |
wa'ame	 w a ' a m e |
yalito	 y a l i t o |
'nee	 ' n e e |
nimeyalinaha	 n i m e y a l i n a h a |
seedo'	 s e e d o ' |
~Usa	 ~ U s a |
tU'otu'udU,	 t U ' o t u ' u d U , |
niitha	 n i i t h a |
niaha	 n i a h a |
wihata	 w i h a t a |
~si'omahayeto	 ~ s i ' o m a h a y e t o |
~si'omaha,	 ~ s i ' o m a h a , |
tikUdo~gU	 t i k U d o ~ g U |
potiadoko	 p o t i a d o k o |
mahaye	 m a h a y e |
potiadoko,	 p o t i a d o k o , |
tU'otu,	 t U ' o t u , |
no'oka'meno	 n o ' o k a ' m e n o |
neeno	 n e e n o |
wa'aamahayetha	 w a ' a a m a h a y e t h a |
"no'o~pulipe	 " n o ' o ~ p u l i p e |
yoa~gU,	 y o a ~ g U , |
mU'nono	 m U ' n o n o |
~si'ya	 ~ s i ' y a |
""mU'no~gU	 " " m U ' n o ~ g U |
ihito""	 i h i t o " " |
o'oaye."	 o ' o a y e . " |
mUnanope'e	 m U n a n o p e ' e |
mUnanope'e,	 m U n a n o p e ' e , |
tole.	 t o l e . |
""cho!	 " " c h o ! |
yaado	 y a a d o |
kUu."""	 k U u . " " " |
"yU'U~gU	 " y U ' U ~ g U |
yadole	 y a d o l e |
uhutha	 u h u t h a |
nika'ye.	 n i k a ' y e . |
""yU'U~gU	 " " y U ' U ~ g U |
mU'nokUu""	 m U ' n o k U u " " |
~kUolido	 ~ k U o l i d o |
wi'o,	 w i ' o , |
~si'a	 ~ s i ' a |
uhuaye	 u h u a y e |
tido~gUtha."	 t i d o ~ g U t h a . " |
"()	 " ( ) |
~ke'nole	 ~ k e ' n o l e |
tipepUlitha""	 t i p e p U l i t h a " " |
niaye."	 n i a y e . " |
du'u~kaye	 d u ' u ~ k a y e |
o'omeedikUdo	 o ' o m e e d i k U d o |
eeeh	 e e e h |
si'niayetha	 s i ' n i a y e t h a |
nUkadeko	 n U k a d e k o |
yeerosaa	 y e e r o s a a |
nUkadeko,	 n U k a d e k o , |
(la)	 ( l a ) |
cinco	 c i n c o |
hora	 h o r a |
ihigUnaha	 i h i g U n a h a |
wa'Uniha	 w a ' U n i h a |
niayenaha	 n i a y e n a h a |
ke'nole	 k e ' n o l e |
si'nidu'ti	 s i ' n i d u ' t i |
yohataU	 y o h a t a U |
ko'eti~kaa.	 k o ' e t i ~ k a a . |
buata	 b u a t a |
atataye	 a t a t a y e |
petamaa	 p e t a m a a |
buatadosaa	 b u a t a d o s a a |
pehe~kaye	 p e h e ~ k a y e |
a'liye	 a ' l i y e |
~keekUna,	 ~ k e e k U n a , |
(~kekUna)	 ( ~ k e k U n a ) |
pe'natha	 p e ' n a t h a |
pUadekopU	 p U a d e k o p U |
butido	 b u t i d o |
niayenaha.	 n i a y e n a h a . |
yohoali	 y o h o a l i |
buti	 b u t i |
na'~yoa	 n a ' ~ y o a |
~yami	 ~ y a m i |
buti,	 b u t i , |
boleawa'a	 b o l e a w a ' a |
ape	 a p e |
~namikapU,	 ~ n a m i k a p U , |
makUno	 m a k U n o |
penanaha	 p e n a n a h a |
akaye	 a k a y e |
ka'me~koanaha:	 k a ' m e ~ k o a n a h a : |
""mU'U	 " " m U ' U |
yemaka~ka'ya,	 y e m a k a ~ k a ' y a , |
wa'aboaye"	 w a ' a b o a y e " |
yeeitha,	 y e e i t h a , |
bUkUdole	 b U k U d o l e |
o'alitha	 o ' a l i t h a |
"~makai	 " ~ m a k a i |
wa'aya,	 w a ' a y a , |
semayUgU""	 s e m a y U g U " " |
ba'donaha	 b a ' d o n a h a |
wa'UpUna,	 w a ' U p U n a , |
miipe	 m i i p e |
seaye,	 s e a y e , |
mU'Uta	 m U ' U t a |
makai	 m a k a i |
o'owa'aye	 o ' o w a ' a y e |
Livinonaha	 L i v i n o n a h a |
topU.	 t o p U . |
esaye	 e s a y e |
esa,	 e s a , |
~namika	 ~ n a m i k a |
tres	 t r e s |
horas	 h o r a s |
ihianato	 i h i a n a t o |
yUkUsoa~ga	 y U k U s o a ~ g a |
~kuya	 ~ k u y a |
pito	 p i t o |
mahaya	 m a h a y a |
pitota	 p i t o t a |
~kuyakaye	 ~ k u y a k a y e |
ihialiba	 i h i a l i b a |
"~o'ota	 " ~ o ' o t a |
mahamaayUdo	 m a h a m a a y U d o |
""du'se	 " " d u ' s e |
wa'amayalito,	 w a ' a m a y a l i t o , |
wisiado	 w i s i a d o |
niboaye	 n i b o a y e |
nii"	 n i i " |
yo'yedi	 y o ' y e d i |
~waso~ga	 ~ w a s o ~ g a |
~sa'yaye.	 ~ s a ' y a y e . |
mahayenaha	 m a h a y e n a h a |
ma'apUnaha,	 m a ' a p U n a h a , |
ma'ali	 m a ' a l i |
ihimipeta.	 i h i m i p e t a . |
puaye	 p u a y e |
tinisue	 t i n i s u e |
ma'ani~ga	 m a ' a n i ~ g a |
ma'a~gapU	 m a ' a ~ g a p U |
mmmm	 m m m m |
maha,	 m a h a , |
pisumaha	 p i s u m a h a |
pisumahaaaaaa,	 p i s u m a h a a a a a a , |
~so'opUnaha	 ~ s o ' o p U n a h a |
~kunopU,	 ~ k u n o p U , |
yoa~kunopU,	 y o a ~ k u n o p U , |
yU'tiaye	 y U ' t i a y e |
UUUUUUUUUUUU	 U U U U U U U U U U U U |
tutuado	 t u t u a d o |
nimaha	 n i m a h a |
pu'ia~gapU	 p u ' i a ~ g a p U |
~so'oba'dopU	 ~ s o ' o b a ' d o p U |
yu'tidukuaye	 y u ' t i d u k u a y e |
uuuuuuuuu	 u u u u u u u u u |
"cho!	 " c h o ! |
""tidota	 " " t i d o t a |
ihiaga""	 i h i a g a " " |
pisuayeta,	 p i s u a y e t a , |
yU'tiayeta"	 y U ' t i a y e t a " |
tidota	 t i d o t a |
ihiboa	 i h i b o a |
dedo~ga	 d e d o ~ g a |
tU'o~ka'adukuaye	 t U ' o ~ k a ' a d u k u a y e |
nihaye.	 n i h a y e . |
sieme'na,	 s i e m e ' n a , |
sieme'na	 s i e m e ' n a |
bu'ataye	 b u ' a t a y e |
tido~gU	 t i d o ~ g U |
bUkUna	 b U k U n a |
mehe,	 m e h e , |
i'yalikUdo	 i ' y a l i k U d o |
"apeido	 " a p e i d o |
pUleta	 p U l e t a |
i'yatulia	 i ' y a t u l i a |
tiayepe""	 t i a y e p e " " |
kuenaha."	 k u e n a h a . " |
dutisua	 d u t i s u a |
~i'yapio	 ~ i ' y a p i o |
dukuayeta.	 d u k u a y e t a . |
mUnanota	 m U n a n o t a |
~i'yapio~gU	 ~ i ' y a p i o ~ g U |
pi'ata	 p i ' a t a |
~oooo	 ~ o o o o |
yU'dUtoa	 y U ' d U t o a |
yU'dUa~gU	 y U ' d U a ~ g U |
pi'adUkasata	 p i ' a d U k a s a t a |
batobu'ataye	 b a t o b u ' a t a y e |
tido~gUta	 t i d o ~ g U t a |
"topU	 " t o p U |
~i'yabu'ata	 ~ i ' y a b u ' a t a |
ihimeededo,	 i h i m e e d e d o , |
siodosaa	 s i o d o s a a |
yeedaboa""	 y e e d a b o a " " |
nii."	 n i i . " |
sinituayenaha	 s i n i t u a y e n a h a |
bUkUdolenaha,	 b U k U d o l e n a h a , |
pakUdolenaha.	 p a k U d o l e n a h a . |
paI	 p a I |
"ne	 " n e |
pai,	 p a i , |
sutota	 s u t o t a |
maka~ku	 m a k a ~ k u |
nimahali	 n i m a h a l i |
mU'U""	 m U ' U " " |
kanUpUta	 k a n U p U t a |
a'taU,	 a ' t a U , |
wa'amaali,	 w a ' a m a a l i , |
wisiU	 w i s i U |
niatidi	 n i a t i d i |
wisiedU'U	 w i s i e d U ' U |
wisiedU'U,	 w i s i e d U ' U , |
GUre	 G U r e |
~wati	 ~ w a t i |
neemaha	 n e e m a h a |
tiano.	 t i a n o . |
~Uleko	 ~ U l e k o |
~ke'no	 ~ k e ' n o |
~si'o	 ~ s i ' o |
putiadoko	 p u t i a d o k o |
~ka'naha	 ~ k a ' n a h a |
~Uleko,	 ~ U l e k o , |
ihiali	 i h i a l i |
gUre,	 g U r e , |
~si'oalita	 ~ s i ' o a l i t a |
yU'Ulepeta	 y U ' U l e p e t a |
miado	 m i a d o |
si'nidU	 s i ' n i d U |
koebuaU	 k o e b u a U |
nihanaha	 n i h a n a h a |
UhUa	 U h U a |
abaU	 a b a U |
ninee	 n i n e e |
yU'Upe	 y U ' U p e |
tU'otuna	 t U ' o t u n a |
~kanUpUta	 ~ k a n U p U t a |
~ataU	 ~ a t a U |
peanaha.	 p e a n a h a . |
poka~ga	 p o k a ~ g a |
neeta'U	 n e e t a ' U |
poka~ga,	 p o k a ~ g a , |
pokasika~ga	 p o k a s i k a ~ g a |
komakalisika~gale	 k o m a k a l i s i k a ~ g a l e |
o'omaye	 o ' o m a y e |
si'nie	 s i ' n i e |
daha.	 d a h a . |
potidU,	 p o t i d U , |
ko'ebuaU	 k o ' e b u a U |
buUnihaya	 b u U n i h a y a |
tidogU.	 t i d o g U . |
wa'aboayaliba	 w a ' a b o a y a l i b a |
a'likUdo	 a ' l i k U d o |
siodota	 s i o d o t a |
wa'aiya	 w a ' a i y a |
bu'ate.	 b u ' a t e . |
bu'asaadopUnaha,	 b u ' a s a a d o p U n a h a , |
bu'asaa	 b u ' a s a a |
yUkUsopUnaha	 y U k U s o p U n a h a |
mUhUasaa	 m U h U a s a a |
~siopio	 ~ s i o p i o |
"esa,	 " e s a , |
iyowa'ado	 i y o w a ' a d o |
a'ta~ka'yamU'Ua	 a ' t a ~ k a ' y a m U ' U a |
""esa""	 " " e s a " " |
bUdUta	 b U d U t a |
a'taye."	 a ' t a y e . " |
tikUdome'na,	 t i k U d o m e ' n a , |
makUnome'na,	 m a k U n o m e ' n a , |
ummmmmm,	 u m m m m m m , |
bUdUsayetita,	 b U d U s a y e t i t a , |
aracapapU	 a r a c a p a p U |
bUrUsapa,	 b U r U s a p a , |
mahaa,	 m a h a a , |
mahasame'no	 m a h a s a m e ' n o |
~to'oka'ayenaha	 ~ t o ' o k a ' a y e n a h a |
siodosa	 s i o d o s a |
a'taka'ye	 a ' t a k a ' y e |
topUnanaha	 t o p U n a n a h a |
~wakueno	 ~ w a k u e n o |
diaminiawa'anaha,	 d i a m i n i a w a ' a n a h a , |
